geometry,moreinfo,statname,dwrabbrev,wdid,usgsstatid,datasource,structtype,stattype,statstatus,variable,stage,amount,units,flag,div,wd,county,utmx,utmy,locaccuracy,latdecdeg,longdecdeg,datetime
"X: -11683598.1577241, Y: 4718090.8451578, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07103797,"WEST MONUMENT CREEK BELOW RAMPART RESERVOIR, CO",MONRAMCO,,7103797,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,3.99,CFS,,2,10,EL PASO,503851.4,4314002.3,User supplied,38.974992,-104.955537,8/13/2018 12:30
"X: -11525136.4277052, Y: 4578088.56251099, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ARKLAJCO&MTYPE=DISCHRG,ARKANSAS RIVER AT LA JUNTA,ARKLAJCO,,7123000,Co. Division of Water Resources,,Stream,Active,DISCHRG,6.91,24,CFS,,2,17,OTERO,628901.9,4205780.5,,37.990529,-103.532061,8/13/2018 12:15
"X: -11653816.9645487, Y: 4670098.54734124, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=OWHLDTCO&MTYPE=DISCHRG,OWEN AND HALL DITCH,OWHLDTCO,,OWHLDTCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.84,11.7,CFS,,2,10,EL PASO,527152.6,4276767.4,,38.639038,-104.688014,8/13/2018 12:15
"X: -11566122.7559179, Y: 4488903.11470591, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07126300,PURGATOIRE RIVER NEAR THATCHER,PURTHACO,,7126300,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,4.5,CFS,,2,19,LAS ANIMAS,597395.4,4134978,User supplied,37.356406,-103.900238,8/13/2018 12:30
"X: -11994697.221901, Y: 4648179.20376646, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ABCLATCO&MTYPE=DISCHRG1,ABC LATERAL,ABCLATCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG1,2.38,59.5,CFS,,4,41,MONTROSE,260119,4263221,User supplied,38.485076,-107.750198,8/13/2018 12:30
"X: -11833976.950269, Y: 4760779.65180496, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07079300,"EF ARKANSAS R AT US HIWAY 24, NR LEADVILLE, CO.",ARKEFOCO,,7079300,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,15.4,CFS,,2,11,LAKE,387308.6,4347829,User supplied,39.272489,-106.306413,8/13/2018 12:15
"X: -12101863.1031853, Y: 4630012.31057807, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09177000,"SAN MIGUEL RIVER AT URAVAN, CO.",SANURECO,,9177000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,4.78,CFS,,4,60,MONTROSE,175554.4,4251978.3,User supplied,38.357212,-108.712875,8/13/2018 12:15
"X: -12021647.3235176, Y: 4672688.64823734, Z: NaN",http://waterdata.usgs.gov/nwis/uv?383926107593001,"LOUTSENHIZER ARROYO AT HWY 50 NEAR OLATHE, CO",LOUARRCO,,3.83926E+14,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,73.3,CFS,,4,41,MONTROSE,239621,4282987,,38.657207,-107.992289,8/13/2018 12:00
"X: -11835561.8414464, Y: 4666037.87034922, Z: NaN",http://www.uawcd.com/dcs_siteinfo.php#21C,NORTH FORK RESERVOIR OUTLET,NSARSOCO,,21C,Upper Arkansas Water Conservancy District (Data Provider),,Stream,Active,DISCHRG,,2.24,CFS,,2,11,CHAFFEE,385016,4274386,,38.610538,-106.320651,8/13/2018 11:00
"X: -11906059.4509568, Y: 4941021.97388292, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09242500,ELK RIVER NEAR MILNER,ELKMILCO,,9242500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,35.9,CFS,,6,58,ROUTT,334466.1,4486720.2,User supplied,40.514698,-106.953941,8/13/2018 12:30
"X: -11391223.8716741, Y: 4591521.36584463, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=GICAGWCO&MTYPE=DISCHRG,GRANADA IRRIGATION CANAL AUGMENTATION STATION WEST,GICAGWCO,,GICAGWCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.76,10.4,CFS,,2,67,PROWERS,734246,4218678,,38.085566,-102.329096,8/13/2018 12:30
"X: -11983427.2374717, Y: 4654450.19502348, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09128000,GUNNISON RIVER BELOW GUNNISON TUNNEL,GUNBEPCO,,9128000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,593,CFS,,4,62,MONTROSE,269091.9,4267854.5,User supplied,38.529153,-107.648947,8/13/2018 12:30
"X: -11846913.6289669, Y: 4635382.06427291, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09115500,"TOMICHI CREEK AT SARGENTS, CO.",TOMSARCO,,9115500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,21.1,CFS,,4,28,SAGUACHE,375767.3,4250603.6,User supplied,38.395028,-106.422625,8/13/2018 12:00
"X: -11703110.6740163, Y: 4885475.18206278, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06724970,"LEFT HAND CREEK AT HOVER ROAD NEAR LONGMONT, CO",LEFTHOCO,503200,6724970,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,2.96,CFS,,1,5,BOULDER,488855,4442669,,40.134278,-105.130819,8/13/2018 12:10
"X: -11971491.353623, Y: 4612361.50094772, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09125800,SILVERJACK RESERVOIR NEAR CIMARRON,SJKRESCO,,9125800,U.S. Geological Survey (Data Provider),,Stream,Active,STORAGE,,5072,CFS,,4,62,GUNNISON,277533.2,4234696.6,User supplied,38.232769,-107.541726,8/13/2018 12:00
"X: -11849942.2756294, Y: 4521803.9935435, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PINDELCO&MTYPE=DISCHRG,PINOS CREEK NEAR DEL NORTE,PINDELCO,,8220500,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.62,6.3,CFS,,3,20,RIO GRANDE,372001.3,4161421.5,,37.590977,-106.449846,8/13/2018 12:15
"X: -11868504.9243194, Y: 4733172.04178103, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09073005,LINCOLN CREEK BELOW GRIZZLY RESERVOIR NEAR ASPEN,LINGRRCO,,9073005,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,8.06,CFS,,5,38,PITKIN,360171.6,4326924.2,User supplied,39.080236,-106.616583,8/13/2018 12:15
"X: -11423408.5886494, Y: 4594381.8340414, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ARF181CO&MTYPE=DISCHRG,ARF HEADGATE 181 (GRAVEYARD),ARF181CO,,ARF181CO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.1,0.23,CFS,,2,67,PROWERS,708828,4220232,,,,8/13/2018 12:30
"X: -11977929.6464882, Y: 4555849.96353345, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ANIHOWCO&MTYPE=DISCHRG,"ANIMAS RIVER AT HOWARDSVILLE, CO",ANIHOWCO,,9357500,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.73,22.6,CFS,,7,30,SAN JUAN,271228.9,4190461.3,,37.832918,-107.599572,8/13/2018 12:30
"X: -11654596.3857617, Y: 4531671.37602542, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LVRET2CO&MTYPE=DISCHRG,LA VETA #2 RETURN FLOW,LVRET2CO,,LVRET2CO,Co. Division of Water Resources,,Stream,Active,DISCHRG,,0,CFS,,2,16,HUERFANO,526900,4168266,,37.66117,-104.695011,8/13/2018 12:30
"X: -11772811.4253283, Y: 4450081.13166792, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RIOLOBCO&MTYPE=DISCHRG,RIO GRANDE RIVER NEAR LOBATOS,RIOLOBCO,,8251500,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.26,9.07,CFS,,3,22,CONEJOS,432718.1,4103869.3,,37.078689,-105.756966,8/13/2018 12:30
"X: -11772254.5168671, Y: 4843563.34091622, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09022000,"FRASER RIVER AT UPPER STA, NEAR WINTER PARK, CO.",FRAUPPCO,,9022000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,6.02,CFS,,5,51,GRAND,435669.2,4410915.4,User supplied,39.84582,-105.751951,8/13/2018 12:15
"X: -11669311.8684038, Y: 4645325.44485016, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07099230,"TURKEY CREEK AB TELLER RES NEAR STONE CITY, CO.",TURTELCO,,7099230,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0,CFS,,2,10,PUEBLO,515074.9,4257423.9,User supplied,38.465,-104.827201,8/13/2018 12:45
"X: -11668352.4737927, Y: 4882828.03458204, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06721000,SOUTH PLATTE RIVER AT FORT LUPTON,PLALUPCO,201755,6721000,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,177,CFS,,1,2,WELD,515459.4,4440658.4,User supplied,40.116094,-104.818583,8/13/2018 12:00
"X: -11890228.1110119, Y: 4449857.39056768, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LITOSOCO&MTYPE=DISCHRG,LITTLE NAVAJO RIVER BELOW LITTLE OSO DIVERSION DAM,LITOSOCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.16,0.88,CFS,,7,77,ARCHULETA,338955.2,4104958.8,User supplied,37.07709,-106.811739,8/13/2018 12:30
"X: -12085968.5562029, Y: 4727143.49063446, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=GUNREDCO&MTYPE=DISCHRG,GUNNISON RIVER BELOW REDLANDS DIVERSION DAM,GUNREDCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.93,86.8,CFS,,4,42,MESA,190984,4327082,,39.03819,-108.570103,8/13/2018 12:30
"X: -11933968.4412081, Y: 4775867.39438885, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CRYDOWCO&MTYPE=DISCHRG,CRYSTAL RIVER AT DOW FISH HATCHERY AB CARBONDALE,CRYDOWCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,3.11,8.86,CFS,,5,38,GARFIELD,310104.2,4360969.6,,39.377344,-107.204665,8/13/2018 12:45
"X: -11939660.6268498, Y: 4540639.87312788, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RIOMILCO&MTYPE=DISCHRG,RIO GRANDE RIVER AT THIRTY MILE BRIDGE NEAR CREEDE,RIOMILCO,,8213500,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.35,57.2,CFS,,3,20,HINSDALE,301197.5,4177690.5,,37.724923,-107.25579,8/13/2018 12:15
"X: -11873991.6884302, Y: 4770890.29238979, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FRYNFNCO&MTYPE=DISCHRG,NORTH FORK FRYINGPAN RIVER NEAR NORRIE,FRYNFNCO,,9078500,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.83,1.66,CFS,,5,38,PITKIN,356443.8,4356138,,39.342766,-106.665871,8/13/2018 12:45
"X: -11746110.7098026, Y: 4884823.96190728, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MIDSTECO&MTYPE=DISCHRG,MIDDLE SAINT VRAIN AT PEACEFUL VALLEY,MIDSTECO,503202,,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,2.61,11.8,CFS,,1,5,BOULDER,455944.3,4442292.5,User supplied,40.129806,-105.517111,8/13/2018 12:00
"X: -11532763.9521258, Y: 4587775.46133921, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=HOLOUTCO&MTYPE=DISCHRG,HOLBROOK RESERVOIR OUTFLOW,HOLOUTCO,,HOLOUTCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,-0.03,0,CFS,,2,17,OTERO,622770.4,4213294,,38.059076,-103.600572,8/13/2018 12:30
"X: -11772235.0029601, Y: 4480118.32788699, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SOULASCO&MTYPE=DISCHRG,SOUTH CHANNEL CONEJOS RIVER NEAR LA SAUSES,SOULASCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,-0.14,0,CFS,,3,22,CONEJOS,433367.5,4127713.8,User supplied,37.29366,-105.751781,8/13/2018 12:30
"X: -11873832.5453075, Y: 4629845.21520161, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RAZBVGCO&MTYPE=DISCHRG,RAZOR CREEK BELOW VOUGA RESERVOIR NEAR DOYLEVILLE,RAZBVGCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.27,1.28,CFS,,4,28,SAGUACHE,354571,4246630,,38.356041,-106.664453,8/13/2018 12:00
"X: -11831185.5006999, Y: 4974160.21718155, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MICTMPCO&MTYPE=DISCHRG,"MICHIGAN RIVER TEMPORARY AT WALDEN, CO",MICTMPCO,,MICTMPCO,Co. Division of Water Resources,,Stream,Site d,DISCHRG,1.51,86.1,CFS,,6,47,JACKSON,391814.9,4510754.5,,40.74063,-106.281346,10/31/2014 13:15
"X: -11712651.4403345, Y: 4923413.42064993, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=HFC930CO&MTYPE=DISCHRG,CHARLES HANSEN FEED CANAL 930 SECTION,HFC930CO,403109,HFC930CO,Bureau of Reclamation  (Station cooperator),Measuring Point,Stream,Site d,DISCHRG,,0,CFS,,1,4,LARIMER,481624,4471548.5,,40.394335,-105.216528,4/23/2018 15:15
"X: -11890264.6658064, Y: 4467522.31943623, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RIOBLACO&MTYPE=DISCHRG1,RIO BLANCO BELOW BLANCO DIVERSION DAM NEAR PAGOSA,RIOBLACO,,9343300,Co. Division of Water Resources,,Stream,Active,DISCHRG1,0.79,10.7,CFS,,7,29,ARCHULETA,339194.1,4118994.5,,37.203583,-106.812066,8/13/2018 12:45
"X: -11986319.9600096, Y: 4498845.30700357, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FLOALECO&MTYPE=DISCHRG,FLORIDA RIVER ABOVE LEMON RESERVOIR NEAR DURANGO,FLOALECO,,9362750,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.48,14.3,CFS,,7,30,LA PLATA,263310.9,4145642.3,User supplied,37.427368,-107.674943,8/13/2018 12:15
"X: -11809671.4703541, Y: 4878058.57879569, Z: NaN",http://www.northernwater.org/WaterProjects/WestSlopeWaterData.aspx,"COLORADO RIVER AT HOT SULPHUR SPRINGS, CO.",COLSULCO,,WS1853,Northern Colorado Water Conservancy District (Data Provider),,Stream,Active,DISCHRG,0.87,145.1,CFS,,5,51,GRAND,407234.4,4437572.3,,40.083321,-106.088074,8/13/2018 12:00
"X: -11719479.1027862, Y: 4847966.9640453, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=COCREPCO&MTYPE=DISCHRG,COAL CREEK NEAR PLAINVIEW,COCREPCO,603604,6730300,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,0.04,0.02,CFS,,1,6,JEFFERSON,476239,4414052,,39.876191,-105.277872,8/13/2018 12:45
"X: -11709135.8534886, Y: 4929279.08526149, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BUCRMVCO&MTYPE=DISCHRG,BUCKHORN CREEK NEAR MASONVILLE,BUCRMVCO,403108,6739500,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,6.33,0,CFS,,1,4,LARIMER,484313.5,4475995.5,,40.434464,-105.184951,8/13/2018 12:30
"X: -12052376.9495769, Y: 4748007.34241831, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09105000,PLATEAU CREEK NEAR CAMEO,PLACAMCO,,9105000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,15.6,CFS,,5,72,MESA,217691,4342242.7,GPS,39.183611,-108.268333,8/13/2018 12:00
"X: -11948763.0448172, Y: 4801483.44497529, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09085100,COLORADO RIVER BELOW GLENWOOD SPRINGS,COLGLECO,,9085100,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,2240,CFS,,5,45,GARFIELD,299167.2,4380976.1,User supplied,39.554982,-107.337554,8/13/2018 12:15
"X: -11830769.1283656, Y: 4724292.48849131, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CCACCRCO&MTYPE=DISCHRG,CLEAR CREEK ABOVE CLEAR CREEK RESERVOIR,CCACCRCO,,7086500,Co. Division of Water Resources,,Stream,Active,DISCHRG,2.83,15.7,CFS,,2,11,CHAFFEE,389397.2,4319582.5,,39.01829,-106.27761,8/13/2018 12:30
"X: -12055633.6546212, Y: 4854481.75147719, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09306200,PICEANCE CREEK BELOW RYAN GULCH,PICRYACO,,9306200,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,2.31,CFS,,6,43,RIO BLANCO,218167.3,4424206,User supplied,39.921083,-108.297588,8/13/2018 11:45
"X: -11831874.8719217, Y: 4873734.98708725, Z: NaN",http://www.northernwater.org/WaterProjects/WestSlopeWaterData.aspx,COLORADO RIVER AT K BARGER DITCH NEAR KREMMLING,COLKBDCO,,WS1855,Northern Colorado Water Conservancy District (Data Provider),,Stream,Active,DISCHRG,3.2,265.03,CFS,,5,51,GRAND,390181.2,4434500.2,User supplied,40.053598,-106.28753,8/13/2018 12:00
"X: -11493004.8838957, Y: 4545969.14816735, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MUDTOOCO&MTYPE=DISCHRG,"MUDDY CREEK BELOW MUDDY CR DAM NR TOONERVILLE, CO",MUDTOOCO,,,Co. Division of Water Resources,,Stream,Nof fl,DISCHRG,1.84,2.32,CFS,,2,67,BENT,654725.5,4180948,,37.762784,-103.243414,8/13/2018 12:45
"X: -11421911.2866105, Y: 4593713.41579765, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LAWAUGCO&MTYPE=DISCHRG,LAMAR WEST FARM AUGMENTATION STATION,LAWAUGCO,6700663,LAWAUGCO,Co. Division of Water Resources,Measuring Point,Stream,Active,DISCHRG,0.78,11.1,CFS,,2,67,PROWERS,710021,4219738,,38.101063,-102.604765,8/13/2018 12:30
"X: -11771481.4258088, Y: 4863882.79247636, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09032100,"CABIN CREEK NEAR FRASER, CO.",CABFRACO,,9032100,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,1.86,CFS,,5,51,GRAND,436393,4426449.1,User supplied,39.98582,-105.745006,8/13/2018 12:15
"X: -11750500.5182135, Y: 4830461.79393129, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FALIDACO&MTYPE=DISCHRG,"FALL RIVER NEAR IDAHO SPRINGS, CO.",FALIDACO,702345,6717000,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,1.15,15.3,CFS,,1,7,CLEAR CREEK,452325.4,4400757.5,,39.755409,-105.556547,8/13/2018 12:45
"X: -11788480.9793073, Y: 4463399.77028203, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CONMANCO&MTYPE=DISCHRG,CONEJOS RIVER NEAR MANASSA,CONMANCO,,CONMANCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.97,-888,CFS,M,3,22,CONEJOS,420306.3,4114561,,,,8/13/2018 12:45
"X: -12054662.8570046, Y: 4549701.33155323, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=GROBGRCO&MTYPE=DISCHRG,GROUNDHOG CREEK BELOW GROUNDHOG RESERVOIR,GROBGRCO,,GROBGRCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.85,145,CFS,,7,71,DOLORES,210381.9,4187532,,37.789284,-108.288878,8/13/2018 12:15
"X: -11675109.4816604, Y: 4734233.1753095, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MONBMNCO&MTYPE=DISCHRG,MONUMENT CREEK BELOW MONUMENT LAKE NEAR MONUMENT,MONBMNCO,1003614,MONBMNCO,Co. Division of Water Resources,Reservoir,Stream,Active,DISCHRG,1.39,0.44,CFS,,2,10,EL PASO,510440.2,4326508.5,GPS,39.087636,-104.879295,8/13/2018 12:30
"X: -11721309.8232437, Y: 4491432.01398291, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TRITURCO&MTYPE=DISCHRG,TRINCHERA CREEK ABOVE TURNER'S RANCH,TRITURCO,,8240500,Co. Division of Water Resources,,Stream,Active,DISCHRG,3.13,2.87,CFS,,3,35,COSTILLA,473942.6,4136454.5,,37.374463,-105.294313,8/13/2018 12:15
"X: -11946562.4829285, Y: 4534101.12453133, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PRWDITCO&MTYPE=DISCHRG,PINE RIVER WEMINUCHE PASS DITCH AT WEMINUCHE PASS,PRWDITCO,,9351000,Co. Division of Water Resources,,Stream,No gag,DISCHRG,0.92,11.3,CFS,,3,20,HINSDALE,295605,4172666.8,User supplied,37.678455,-107.317797,6/12/2018 14:15
"X: -11762018.9431632, Y: 4830965.29782016, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06716100,"WEST FORK CLEAR CREEK ABV MOUTH NR EMPIRE, CO",WFCEMPCO,702348,6716100,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,24,CFS,,1,7,CLEAR CREEK,443464.4,4401203.6,User supplied,39.758876,-105.660003,8/13/2018 12:00
"X: -11671378.463018, Y: 4882833.24328046, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SHLLMOCO&MTYPE=DISCHRG,SAND HILL LAKE LM OUTLET,SHLLMOCO,203890,,"Cooperative Program of CDWR, NCWCD & LSPWCD",Reservoir,Stream,Active,DISCHRG,0.42,1.07,CFS,,1,2,WELD,513143,4440658,,40.11613,-104.845766,8/13/2018 11:45
"X: -11794489.8555869, Y: 4808957.53635867, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SNAKEYCO&MTYPE=DISCHRG,SNAKE RIVER AT KEYSTONE SKI AREA,SNAKEYCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.76,28.8,CFS,,5,36,SUMMIT,418298.8,4384542,,39.606735,-105.951703,8/13/2018 12:45
"X: -11784840.3920804, Y: 4938298.31281324, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06614800,"MICHIGAN RIVER NEAR CAMERON PASS, CO.",MIRICACO,,6614800,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,1.01,CFS,,6,47,JACKSON,426699.5,4483180.5,User supplied,40.496094,-105.865012,8/13/2018 12:00
"X: -11713503.1949059, Y: 4962982.18764114, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CLAFTCCO&MTYPE=DISCHRG,CACHE LA POUDRE AT CANYON MOUTH NEAR FORT COLLINS,CLAFTCCO,301200,6752000,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,3.15,120,CFS,,1,3,LARIMER,481050.9,4501539,,40.66451,-105.224188,8/13/2018 12:45
"X: -11451481.0771669, Y: 4597605.7610077, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ARF160CO&MTYPE=DISCHRG,ARF HEADGATE 160 (LIMESTONE),ARF160CO,,ARF160CO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.31,1.3,CFS,,2,67,BENT,686657,4222223,,,,8/13/2018 12:45
"X: -11957718.0409904, Y: 4791337.2137853, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PTMDGPCO&MTYPE=DISCHRG,"PORTER THREE MILE DITCH AT GARFIELD PASS, CO",PTMDGPCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.04,0.07,CFS,,5,45,GARFIELD,292045.3,4373354.5,,39.484673,-107.418012,8/13/2018 12:15
"X: -12138829.0533629, Y: 4641195.49991882, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BKIOUTCO&MTYPE=DISCHRG,BUCKEYE RESERVOIR (OUTFLOW),BKIOUTCO,6103551,,Co. Division of Water Resources,Reservoir,Stream,Active,DISCHRG,0.2,1.26,CFS,,4,61,MONTROSE,146910,4261941,,38.435951,-109.044957,8/13/2018 12:30
"X: -12139609.6628305, Y: 4964345.88102231, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PTCKSLCO&MTYPE=DISCHRG,POT CREEK AT UTAH-COLORADO STATELINE,PTCKSLCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,-0.37,0,CFS,,6,56,,157506.2,4510446.5,,40.673795,-109.051958,8/13/2018 12:30
"X: -11976030.3562785, Y: 4462286.57635289, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09353800,"LOS PINOS RIVER NEAR IGNACIO, CO",LOSIGNCO,,9353800,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,11,CFS,,7,31,LA PLATA,270698.9,4116422.9,User supplied,37.16611,-107.582501,8/13/2018 12:45
"X: -11949907.6476125, Y: 4719882.66190726, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MUDAPRCO&MTYPE=DISCHRG,MUDDY CREEK ABOVE PAONIA RESERVOIR,MUDAPRCO,,9131490,Co. Division of Water Resources,,Stream,Active,DISCHRG,5.09,10.6,CFS,,4,40,GUNNISON,296649,4318012,User supplied,38.98751,-107.347847,8/13/2018 12:45
"X: -11789963.8904304, Y: 4770445.48620595, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TARCOMCO&MTYPE=DISCHRG,TARRYALL CREEK AT US 285 NEAR COMO,TARCOMCO,2302906,,City of Aurora  (Station cooperator),Stream Gage,Stream,Active,DISCHRG,1.45,6.09,CFS,,1,23,PARK,421489.6,4354867.5,User supplied,39.339686,-105.911043,8/13/2018 12:45
"X: -11889015.0656733, Y: 4919077.37812796, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=YAMBELCO&MTYPE=DISCHRG,LAKE CATAMOUNT SPILLWAY,YAMBELCO,5803631,,Co. Division of Water Resources,Reservoir,Stream,Active,DISCHRG,33.83,6.69,CFS,,6,58,ROUTT,347098.5,4469789,User supplied,40.364669,-106.800845,8/13/2018 12:00
